first_name,last_name,full_name,team,year,player,position,r1_price,r2_price,r3_price,r4_price,r5_price,r6_price,r7_price,r8_price,r9_price,r10_price,r11_price,r12_price,r13_price,r14_price,r15_price,r16_price,r17_price,r18_price,r19_price,r20_price,r21_price,r22_price,r23_price,r1_score,r2_score,r3_score,r4_score,r5_score,r6_score,r7_score,r8_score,r9_score,r10_score,r11_score,r12_score,r13_score,r14_score,r15_score,r16_score,r17_score,r18_score,r19_score,r20_score,r21_score,r22_score,r23_score
Aaron,Francis,Aaron Francis,Essendon,2021,Aaron_Francis_Essendon_2021,DEF,320300,320300,320300,335000,350000,374400,347300,347300,330800,304600,303000,303000,282100,282100,282100,282100,282100,282100,282100,282100,256900,237200,251000,51,52,118,60,82,17,0,70,51,57,0,25,0,0,0,0,0,0,0,29,55,60,62
Aaron,Hall,Aaron Hall,North Melbourne,2021,Aaron_Hall_North Melbourne_2021,FWD,392200,392200,392200,392200,388000,398600,398600,415500,419500,454900,480500,502100,502100,530500,554700,549100,535400,530800,541900,554600,568300,580600,597900,0,6,81,133,37,0,106,113,112,104,121,0,141,100,73,118,116,110,124,128,116,127,139
Aaron,Naughton,Aaron Naughton,Western Bulldogs,2021,Aaron_Naughton_Western Bulldogs_2021,FWD,329700,329700,329700,364000,410000,426900,430300,414200,402300,402700,411500,419100,417900,417900,387600,377700,348700,348700,331400,305200,292000,299600,286500,64,112,95,110,73,76,71,72,98,90,76,81,0,17,108,31,0,31,75,46,71,51,42
Aaron,Nietschke,Aaron Nietschke,Melbourne,2021,Aaron_Nietschke_Melbourne_2021,MID,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Vandenberg,Aaron Vandenberg,Melbourne,2021,Aaron_Vandenberg_Melbourne_2021,MID,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,301300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,29,0,0
Adam,Cerra,Adam Cerra,Fremantle,2021,Adam_Cerra_Fremantle_2021,MID,484800,484800,484800,490800,494700,451100,451100,451100,451100,430800,408100,420600,421200,418700,418700,411000,425200,428300,432200,433000,461000,483500,494200,122,120,56,120,15,0,0,0,88,102,83,67,97,0,65,111,83,72,103,147,77,93,0
Adam,Kennedy,Adam Kennedy,Greater Western Sydney,2021,Adam_Kennedy_Greater Western Sydney_2021,MID,300900,300900,300900,300900,300900,300900,300900,300900,300900,300900,300900,300900,300900,300900,300900,296400,307600,319800,331300,342600,342600,342600,344300,0,0,0,0,0,0,0,0,0,0,0,0,53,45,69,85,56,77,89,0,0,60,52
Adam,Saad,Adam Saad,Carlton,2021,Adam_Saad_Carlton_2021,DEF,526200,526200,526200,496700,474300,472300,471800,467300,430000,408200,396700,411700,430900,430900,438100,450100,467900,478700,477600,459400,431200,413600,369800,114,66,62,112,99,66,106,21,80,116,76,97,0,93,95,116,91,78,73,59,86,45,67
Adam,Tomlinson,Adam Tomlinson,Melbourne,2021,Adam_Tomlinson_Melbourne_2021,DEF MID,324000,324000,324000,335100,321000,305600,305200,290300,290300,290300,290300,290300,290300,290300,290300,290300,290300,290300,290300,290300,290300,290300,290300,82,68,65,31,57,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam,Treloar,Adam Treloar,Western Bulldogs,2021,Adam_Treloar_Western Bulldogs_2021,MID,587600,587600,587600,552800,551700,560600,568600,563300,546700,520600,478700,478700,478700,478700,478700,478700,478700,478700,478700,478700,478700,442400,399300,63,95,108,118,117,113,97,87,83,45,0,0,0,0,0,0,0,0,0,0,76,72,80
